initial_alias,converted_alias,name,description,namespace
ENSG00000266718,ENSG00000266718,AC079336.5,"novel transcript, antisense MYO1D","ARRAYEXPRESS,ENSG"
ENSG00000224113,None,None,None,
ENSG00000266947,ENSG00000266947,AC022916.2,"novel transcript, antisense SLFN5","ARRAYEXPRESS,ENSG"
ENSG00000267364,ENSG00000267364,AC022706.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267547,ENSG00000267547,AC060766.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267648,ENSG00000267648,AC060766.5,DTW domain containing 2 (DTWD2) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000267102,ENSG00000267102,AC060766.1,"RAB32, member RAS oncogene family (RAB32) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000267554,ENSG00000267554,AC015911.8,"RAB32, member RAS oncogene family (RAB32) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000267046,ENSG00000267046,E2F3P1,E2F transcription factor 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3116],"ARRAYEXPRESS,ENSG"
ENSG00000267369,ENSG00000267369,AC015911.7,"TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa (TAF5L) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000267074,ENSG00000267074,AC015911.3,"novel transcript, sense intronic SLFN12L","ARRAYEXPRESS,ENSG"
ENSG00000255987,ENSG00000255987,TOMM20P2,TOMM20 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50519],"ARRAYEXPRESS,ENSG"
ENSG00000267321,ENSG00000267321,SNHG30,small nucleolar RNA host gene 30 [Source:HGNC Symbol;Acc:HGNC:52836],"ARRAYEXPRESS,ENSG"
ENSG00000141150,None,None,None,
ENSG00000132139,None,None,None,
ENSG00000129270,None,None,None,
ENSG00000172660,None,None,None,
ENSG00000267025,None,None,None,
ENSG00000172653,None,None,None,
ENSG00000161570,None,None,None,
ENSG00000161573,None,None,None,
ENSG00000213494,None,None,None,
ENSG00000167236,None,None,None,
ENSG00000006074,None,None,None,
ENSG00000224298,None,None,None,
ENSG00000006075,None,None,None,
ENSG00000129277,None,None,None,
ENSG00000205020,None,None,None,
ENSG00000108278,None,None,None,
ENSG00000141140,None,None,None,
ENSG00000184886,None,None,None,
ENSG00000005955,None,None,None,
ENSG00000236002,None,None,None,
ENSG00000108272,None,None,None,
ENSG00000129282,None,None,None,
ENSG00000267067,None,None,None,
ENSG00000108270,None,None,None,
ENSG00000132142,None,None,None,
ENSG00000108264,None,None,None,
ENSG00000161326,None,None,None,
ENSG00000006114,None,None,None,
ENSG00000141141,None,None,None,
ENSG00000267671,None,None,None,
ENSG00000185128,None,None,None,
ENSG00000174093,None,None,None,
ENSG00000174100,None,None,None,
ENSG00000188888,None,None,None,
ENSG00000174111,None,None,None,
ENSG00000225485,None,None,None,
ENSG00000017373,None,None,None,
ENSG00000179294,None,None,None,
ENSG00000261005,None,None,None,
ENSG00000108292,None,None,None,
ENSG00000266040,None,None,None,
ENSG00000263975,None,None,None,
ENSG00000230055,None,None,None,
ENSG00000056661,None,None,None,
ENSG00000108294,None,None,None,
ENSG00000141720,None,None,None,
ENSG00000108296,None,None,None,
ENSG00000266753,None,None,None,
ENSG00000266469,ENSG00000266469,AC005288.1,"novel transcript, antisense to MED1 & FBXL20","ARRAYEXPRESS,ENSG"
ENSG00000264198,None,None,None,
ENSG00000266208,ENSG00000266208,AC080112.2,"novel transcript, antisense to GJD3","ARRAYEXPRESS,ENSG"
ENSG00000266088,ENSG00000266088,AC004585.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000259623,ENSG00000259623,AC125257.1,"novel transcript, sense overlapping to KLHL11","ARRAYEXPRESS,ENSG"
ENSG00000270010,None,None,None,
ENSG00000267632,ENSG00000267632,AC067852.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000108785,ENSG00000108785,HSD17B1P1,hydroxysteroid 17-beta dehydrogenase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5216],"ARRAYEXPRESS,ENSG"
ENSG00000214578,ENSG00000214578,HMGN2P15,high mobility group nucleosomal binding domain 2 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:39020],"ARRAYEXPRESS,ENSG"
ENSG00000267002,ENSG00000267002,AC060780.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000260793,ENSG00000260793,AC003102.1,"novel transcript, antisense to UBTF","ARRAYEXPRESS,ENSG"
ENSG00000267750,ENSG00000267750,RUNDC3A-AS1,RUNDC3A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51344],"ARRAYEXPRESS,ENSG"
ENSG00000233483,ENSG00000233483,AC008105.2,"novel pseudogene, ortholog of 1700023F06Rik (M. musculus)","ARRAYEXPRESS,ENSG"
ENSG00000267278,ENSG00000267278,MAP3K14-AS1,MAP3K14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44359],"ARRAYEXPRESS,ENSG"
ENSG00000267344,ENSG00000267344,AC003070.1,"novel transcript, antisense to ARHGAP27","ARRAYEXPRESS,ENSG"
ENSG00000214425,ENSG00000214425,LRRC37A4P,"leucine rich repeat containing 37 member A4, pseudogene [Source:HGNC Symbol;Acc:HGNC:25479]","ARRAYEXPRESS,ENSG"
ENSG00000264070,ENSG00000264070,DND1P1,DND microRNA-mediated repression inhibitor 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31444],"ARRAYEXPRESS,ENSG"
ENSG00000263503,ENSG00000263503,MAPK8IP1P2,mitogen-activated protein kinase 8 interacting protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:52402],"ARRAYEXPRESS,ENSG"
ENSG00000262372,ENSG00000262372,CR936218.1,"novel transcript, antisense to a novel protein","ARRAYEXPRESS,ENSG"
ENSG00000262539,ENSG00000262539,AC005829.2,dead end homolog 1 (zebrafish) (DND1) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000213326,ENSG00000213326,RPS7P11,ribosomal protein S7 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:35841],"ARRAYEXPRESS,ENSG"
ENSG00000263142,ENSG00000263142,LRRC37A17P,"leucine rich repeat containing 37 member A17, pseudogene [Source:HGNC Symbol;Acc:HGNC:48365]","ARRAYEXPRESS,ENSG"
ENSG00000228782,ENSG00000228782,MRPL45P2,mitochondrial ribosomal protein L45 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:29716],"ARRAYEXPRESS,ENSG"
ENSG00000264701,ENSG00000264701,AC018521.4,"novel transcript, antisense to CDK5RAP3","ARRAYEXPRESS,ENSG"
ENSG00000263412,ENSG00000263412,AC004477.1,"novel transcript, antisense to NFE2L1","ARRAYEXPRESS,ENSG"
ENSG00000230532,ENSG00000230532,AC091133.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000262973,None,None,None,
ENSG00000262902,ENSG00000262902,MTCO1P40,MT-CO1 pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:52105],"ARRAYEXPRESS,ENSG"
ENSG00000261589,None,None,None,
ENSG00000262951,None,None,None,
ENSG00000263120,ENSG00000263120,AC004584.3,"novel transcript, sense intronic to SCPEP1","ARRAYEXPRESS,ENSG"
ENSG00000263004,ENSG00000263004,AC007114.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000263089,ENSG00000263089,AC007114.2,"novel transcript, antisense to AKAP1","ARRAYEXPRESS,ENSG"
ENSG00000264112,ENSG00000264112,AC015813.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000265206,ENSG00000265206,AC004687.1,"novel transcript, MIR142 host","ARRAYEXPRESS,ENSG"
ENSG00000224738,ENSG00000224738,AC099850.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267248,ENSG00000267248,AC025048.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000266066,ENSG00000266066,POLRMTP1,RNA polymerase mitochondrial pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28865],"ARRAYEXPRESS,ENSG"
ENSG00000214176,ENSG00000214176,PLEKHM1P1,pleckstrin homology and RUN domain containing M1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35411],"ARRAYEXPRESS,ENSG"
ENSG00000265218,ENSG00000265218,AC103810.2,"novel transcript, antisense to LRRC37A3","ARRAYEXPRESS,ENSG"
ENSG00000264057,ENSG00000264057,AC103810.1,bromodomain PHD finger transcription factor (BPTF) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000232457,ENSG00000232457,SLC16A6P1,SLC16A6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48932],"ARRAYEXPRESS,ENSG"
ENSG00000263470,None,None,None,
ENSG00000237854,ENSG00000237854,LINC00674,long intergenic non-protein coding RNA 674 [Source:HGNC Symbol;Acc:HGNC:44355],"ARRAYEXPRESS,ENSG"
ENSG00000267023,ENSG00000267023,LRRC37A16P,"leucine rich repeat containing 37 member A16, pseudogene [Source:HGNC Symbol;Acc:HGNC:43820]","ARRAYEXPRESS,ENSG"
ENSG00000267352,ENSG00000267352,SH3GL1P3,"SH3 domain containing GRB2 like 1, endophilin A2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:10837]","ARRAYEXPRESS,ENSG"
ENSG00000267731,ENSG00000267731,AC005332.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000265100,ENSG00000265100,AC005332.1,"novel transcript, antisense to AMZ2","ARRAYEXPRESS,ENSG"
ENSG00000267009,ENSG00000267009,AC007780.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269657,None,None,None,
ENSG00000267361,ENSG00000267361,SEC24AP1,SEC24 homolog A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:53767],"ARRAYEXPRESS,ENSG"
ENSG00000267653,ENSG00000267653,AC002546.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267194,None,None,None,
ENSG00000230258,ENSG00000230258,AC005208.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000260248,None,None,None,
ENSG00000265242,None,None,None,
ENSG00000267801,ENSG00000267801,AC087289.5,"novel transcript, antisense to TRIM47","ARRAYEXPRESS,ENSG"
ENSG00000267342,ENSG00000267342,AC087289.2,"novel transcript, antisense to MRPL38","ARRAYEXPRESS,ENSG"
ENSG00000267543,ENSG00000267543,AC015802.3,"novel transcript, sense intronic to PRCD","ARRAYEXPRESS,ENSG"
ENSG00000267546,ENSG00000267546,AC015802.4,"novel transcript, antisense to PRCD","ARRAYEXPRESS,ENSG"
ENSG00000267078,ENSG00000267078,AC015802.1,"novel transcript, antisense to ST6GALNAC2","ARRAYEXPRESS,ENSG"
ENSG00000267506,ENSG00000267506,AC021683.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267355,ENSG00000267355,RPL9P29,ribosomal protein L9 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:35533],"ARRAYEXPRESS,ENSG"
ENSG00000262772,ENSG00000262772,LINC01977,long intergenic non-protein coding RNA 1977 [Source:HGNC Symbol;Acc:HGNC:52804],"ARRAYEXPRESS,ENSG"
ENSG00000262580,ENSG00000262580,AC087741.1,"novel transcript, antisense to CARD14","ARRAYEXPRESS,ENSG"
ENSG00000175911,None,None,None,
ENSG00000260005,ENSG00000260005,AC027601.2,"novel transcript, antisense to C17orf56","ARRAYEXPRESS,ENSG"
ENSG00000185168,ENSG00000185168,LINC00482,long intergenic non-protein coding RNA 482 [Source:HGNC Symbol;Acc:HGNC:26816],"ARRAYEXPRESS,ENSG"
ENSG00000262877,ENSG00000262877,AC110285.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000263053,None,None,None,
ENSG00000171282,None,None,None,
ENSG00000229848,ENSG00000229848,AC139149.1,"novel transcript, antisense to ACTG1","ARRAYEXPRESS,ENSG"
ENSG00000262049,ENSG00000262049,AC139530.1,"novel transcript, antisense to HGS","ARRAYEXPRESS,ENSG"
ENSG00000263731,ENSG00000263731,AC145207.5,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000265678,ENSG00000265678,AC129510.1,"novel transcript, antisense CCDC57","ARRAYEXPRESS,ENSG"
ENSG00000264548,ENSG00000264548,AC132872.2,"novel transcript, antisense CCDC57","ARRAYEXPRESS,ENSG"
ENSG00000184551,None,None,None,
ENSG00000268852,None,None,None,
ENSG00000260563,ENSG00000260563,AC132872.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000260011,ENSG00000260011,AC132938.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000266236,ENSG00000266236,NARF-IT1,NARF intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:43651],"ARRAYEXPRESS,ENSG"
ENSG00000262410,ENSG00000262410,AC024361.1,"novel transcript, sense intronic FN3K","ARRAYEXPRESS,ENSG"
ENSG00000262663,ENSG00000262663,AC087222.1,"novel transcript, sense intronic TBCD","ARRAYEXPRESS,ENSG"
ENSG00000261888,ENSG00000261888,AC144831.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000263884,ENSG00000263884,AP000845.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000273355,ENSG00000273355,AP000894.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000266783,ENSG00000266783,AP005136.3,"novel transcript, sense intronic METTL4","ARRAYEXPRESS,ENSG"
ENSG00000177337,ENSG00000177337,DLGAP1-AS1,DLGAP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:31676],"ARRAYEXPRESS,ENSG"
ENSG00000262001,ENSG00000262001,DLGAP1-AS2,DLGAP1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:28146],"ARRAYEXPRESS,ENSG"
ENSG00000264575,ENSG00000264575,LINC00526,long intergenic non-protein coding RNA 526 [Source:HGNC Symbol;Acc:HGNC:28278],"ARRAYEXPRESS,ENSG"
ENSG00000235552,ENSG00000235552,RPL6P27,ribosomal protein L6 pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:36133],"ARRAYEXPRESS,ENSG"
ENSG00000265413,ENSG00000265413,AP001094.2,"novel transcript, sense intronic to PTPRM","ARRAYEXPRESS,ENSG"
ENSG00000263847,ENSG00000263847,AP005899.1,"novel transcript, antisense to NDUFV2","ARRAYEXPRESS,ENSG"
ENSG00000273284,ENSG00000273284,AP001033.4,"novel transcript, sense intronic to ANKRD12","ARRAYEXPRESS,ENSG"
ENSG00000273352,None,None,None,
ENSG00000256616,ENSG00000256616,AP002414.2,G protein-coupled receptor 125 (GPR125) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000267199,ENSG00000267199,AP001029.2,"novel transcript, antisense SPIRE1","ARRAYEXPRESS,ENSG"
ENSG00000215527,None,None,None,
ENSG00000267702,ENSG00000267702,AP005131.6,"novel transcript, sense intronic C18orf1","ARRAYEXPRESS,ENSG"
ENSG00000186481,ENSG00000186481,ANKRD20A5P,"ankyrin repeat domain 20 family member A5, pseudogene [Source:HGNC Symbol;Acc:HGNC:33833]","ARRAYEXPRESS,ENSG"
ENSG00000264222,None,None,None,
ENSG00000265296,ENSG00000265296,FEM1AP2,fem-1 homolog A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39830],"ARRAYEXPRESS,ENSG"
ENSG00000228835,ENSG00000228835,AC012123.1,"novel transcript, antisense to KLHL14","ARRAYEXPRESS,ENSG"
ENSG00000268573,ENSG00000268573,AC011815.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267583,ENSG00000267583,AC007998.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267707,ENSG00000267707,AC015961.2,"novel transcript, antisense to CELF4","ARRAYEXPRESS,ENSG"
ENSG00000266968,ENSG00000266968,AC023421.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267167,None,None,None,
ENSG00000267724,ENSG00000267724,AC012254.3,"novel transcript, antisense to HDHD2","ARRAYEXPRESS,ENSG"
ENSG00000267541,ENSG00000267541,MTCO2P2,MT-CO2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:25354],"ARRAYEXPRESS,ENSG"
ENSG00000264350,ENSG00000264350,SNRPGP2,small nuclear ribonucleoprotein polypeptide G pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:30999],"ARRAYEXPRESS,ENSG"
ENSG00000267325,ENSG00000267325,LINC01415,long intergenic non-protein coding RNA 1415 [Source:HGNC Symbol;Acc:HGNC:50709],"ARRAYEXPRESS,ENSG"
ENSG00000267732,ENSG00000267732,AC006305.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267504,ENSG00000267504,AC090236.2,"novel transcript, sense intronic to NEDD4L","ARRAYEXPRESS,ENSG"
ENSG00000267010,None,None,None,
ENSG00000267390,ENSG00000267390,AC036176.1,"novel transcript, antisense to KDSR","ARRAYEXPRESS,ENSG"
ENSG00000260578,ENSG00000260578,AC110597.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000264705,ENSG00000264705,AC090337.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000265579,ENSG00000265579,AC023301.1,"novel transcript , sense intronic to NETO1","ARRAYEXPRESS,ENSG"
ENSG00000235297,ENSG00000235297,FAUP1,FAU pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17984],"ARRAYEXPRESS,ENSG"
ENSG00000263812,None,None,None,
ENSG00000267251,ENSG00000267251,AC139100.1,"novel transcript, antisense to PARD6G","ARRAYEXPRESS,ENSG"
ENSG00000225373,None,None,None,
ENSG00000267493,ENSG00000267493,CIRBP-AS1,CIRBP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28588],"ARRAYEXPRESS,ENSG"
ENSG00000248015,ENSG00000248015,AC005329.1,"novel transcript, antisense to NDUFS7","ARRAYEXPRESS,ENSG"
ENSG00000267317,ENSG00000267317,AC027307.2,"novel transcript, antisense to APC2","ARRAYEXPRESS,ENSG"
ENSG00000267161,None,None,None,
ENSG00000261526,ENSG00000261526,AC012615.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000267283,ENSG00000267283,AC005306.1,"novel transcript, antisense to BTBD2","ARRAYEXPRESS,ENSG"
ENSG00000273116,None,None,None,
ENSG00000268670,ENSG00000268670,AC016586.1,"novel transcript, sense intronic to ZBTB7A","ARRAYEXPRESS,ENSG"
ENSG00000269318,ENSG00000269318,AC007292.2,"novel transcript, antisense to MPND","ARRAYEXPRESS,ENSG"
ENSG00000267980,ENSG00000267980,AC007292.1,"novel transcript, antisense to SH3GL1","ARRAYEXPRESS,ENSG"
ENSG00000267030,ENSG00000267030,AC011498.2,"novel transcript, antisense to UBXN6","ARRAYEXPRESS,ENSG"
ENSG00000267769,ENSG00000267769,AC011498.6,"novel transcript, antisense to UBX6","ARRAYEXPRESS,ENSG"
ENSG00000034063,None,None,None,
ENSG00000267427,None,None,None,
ENSG00000269680,ENSG00000269680,AC008760.1,"novel transcript, antisense to TRIP10","ARRAYEXPRESS,ENSG"
ENSG00000263264,ENSG00000263264,AC119396.1,novel protein,"ARRAYEXPRESS,ENSG"
ENSG00000268204,ENSG00000268204,AC008763.1,"novel transcript, antisense to STXBP2","ARRAYEXPRESS,ENSG"
ENSG00000268297,ENSG00000268297,CLEC4GP1,C-type lectin domain family 4 member G pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33502],"ARRAYEXPRESS,ENSG"
ENSG00000267106,ENSG00000267106,ZNF561-AS1,ZNF561 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:27613],"ARRAYEXPRESS,ENSG"
ENSG00000267370,ENSG00000267370,AC008752.4,zinc finger protein 420 (ZNF420) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000175898,None,None,None,
ENSG00000267277,ENSG00000267277,AC024575.2,"novel transcript, antisense to SWSAP1","ARRAYEXPRESS,ENSG"
ENSG00000214189,ENSG00000214189,ZNF788P,"zinc finger family member 788, pseudogene [Source:HGNC Symbol;Acc:HGNC:33112]","ARRAYEXPRESS,ENSG"
ENSG00000242615,ENSG00000242615,AC022415.2,ribosomal protein L17 (RPL17) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000234773,ENSG00000234773,AC012618.3,novel zinc finger protein pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000261280,None,None,None,
ENSG00000248406,ENSG00000248406,AC008758.3,novel pseudogene similar to zinc finger protein 799 (ZNF799),"ARRAYEXPRESS,ENSG"
ENSG00000178464,ENSG00000178464,RPL10P16,ribosomal protein L10 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36882],"ARRAYEXPRESS,ENSG"
ENSG00000240616,ENSG00000240616,RPS6P25,ribosomal protein S6 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:35948],"ARRAYEXPRESS,ENSG"
ENSG00000267519,ENSG00000267519,AC020916.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000224543,ENSG00000224543,SNRPGP15,small nuclear ribonucleoprotein polypeptide G pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:49371],"ARRAYEXPRESS,ENSG"
ENSG00000270143,None,None,None,
ENSG00000273218,ENSG00000273218,AC005776.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000268189,ENSG00000268189,AC005785.1,"novel transcript, antisense to AKAP8 and AKAP8L","ARRAYEXPRESS,ENSG"
ENSG00000267594,ENSG00000267594,CYP4F24P,"cytochrome P450 family 4 subfamily F member 24, pseudogene [Source:HGNC Symbol;Acc:HGNC:39945]","ARRAYEXPRESS,ENSG"
ENSG00000267056,ENSG00000267056,AC005336.1,inositol polyphosphate multikinase (IPMK) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000269399,ENSG00000269399,AC008764.6,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000268087,ENSG00000268087,AC008764.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269044,ENSG00000269044,AC024075.2,"novel transcript, sense intronic C19orf42","ARRAYEXPRESS,ENSG"
ENSG00000267904,ENSG00000267904,AC024075.1,"novel transcript, sense intronic C19orf42","ARRAYEXPRESS,ENSG"
ENSG00000268743,ENSG00000268743,AC008737.1,"novel transcript, sense intronic SIN3B","ARRAYEXPRESS,ENSG"
ENSG00000269640,None,None,None,
ENSG00000269481,ENSG00000269481,AC010319.4,"novel transcript, antisense FAM125A","ARRAYEXPRESS,ENSG"
ENSG00000254503,ENSG00000254503,AC010319.1,high-mobility group box 3 (HMGB3) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000268938,ENSG00000268938,AC005387.1,"novel transcript, antisense to FKBP8","ARRAYEXPRESS,ENSG"
ENSG00000268030,ENSG00000268030,AC005253.1,"novel transcript, antisense to KXD1","ARRAYEXPRESS,ENSG"
ENSG00000269131,None,None,None,
ENSG00000266904,ENSG00000266904,LINC00663,long intergenic non-protein coding RNA 663 [Source:HGNC Symbol;Acc:HGNC:28609],"ARRAYEXPRESS,ENSG"
ENSG00000267419,ENSG00000267419,ZNF56,zinc finger protein 56 [Source:HGNC Symbol;Acc:HGNC:13124],"ARRAYEXPRESS,ENSG"
ENSG00000267481,ENSG00000267481,AC011477.1,"novel transcript, sense intronic to ZNF506","ARRAYEXPRESS,ENSG"
ENSG00000267565,ENSG00000267565,AC011477.2,"novel transcript, antisense to ZNF253","ARRAYEXPRESS,ENSG"
ENSG00000267268,None,None,None,
ENSG00000269154,ENSG00000269154,BNIP3P13,BCL2 interacting protein 3 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:49693],"ARRAYEXPRESS,ENSG"
ENSG00000267383,ENSG00000267383,AC011447.3,"novel transcript, antisense to ZNF486 and ZNF90","ARRAYEXPRESS,ENSG"
ENSG00000267641,ENSG00000267641,BNIP3P16,BCL2 interacting protein 3 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:49696],"ARRAYEXPRESS,ENSG"
ENSG00000271524,ENSG00000271524,BNIP3P17,BCL2 interacting protein 3 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:49697],"ARRAYEXPRESS,ENSG"
ENSG00000268620,ENSG00000268620,AC078899.3,novel zinc finger protein pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000213985,ENSG00000213985,AC078899.1,ARP2 actin-related protein 2 homolog (yeast) (ACTR2) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000269055,ENSG00000269055,BNIP3P18,BCL2 interacting protein 3 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:49698],"ARRAYEXPRESS,ENSG"
ENSG00000269274,ENSG00000269274,AC078899.4,novel zinc finger protein pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000231205,ENSG00000231205,ZNF826P,"zinc finger protein 826, pseudogene [Source:HGNC Symbol;Acc:HGNC:33875]","ARRAYEXPRESS,ENSG"
ENSG00000269779,ENSG00000269779,AC010329.2,zinc finger protein 85 pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000268416,ENSG00000268416,AC010329.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000268357,ENSG00000268357,VN1R81P,vomeronasal 1 receptor 81 pseudogene [Source:HGNC Symbol;Acc:HGNC:37401],"ARRAYEXPRESS,ENSG"
ENSG00000240522,ENSG00000240522,RPL7AP10,ribosomal protein L7a pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:32433],"ARRAYEXPRESS,ENSG"
ENSG00000268995,ENSG00000268995,VN1R82P,vomeronasal 1 receptor 82 pseudogene [Source:HGNC Symbol;Acc:HGNC:37402],"ARRAYEXPRESS,ENSG"
ENSG00000268521,ENSG00000268521,VN1R83P,vomeronasal 1 receptor 83 pseudogene [Source:HGNC Symbol;Acc:HGNC:37403],"ARRAYEXPRESS,ENSG"
ENSG00000213976,ENSG00000213976,AC010615.1,zinc finger protein pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000268081,ENSG00000268081,AC123912.1,"novel transcript, antisense to ZNF429","ARRAYEXPRESS,ENSG"
ENSG00000268555,ENSG00000268555,AC123912.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269345,ENSG00000269345,VN1R85P,vomeronasal 1 receptor 85 pseudogene [Source:HGNC Symbol;Acc:HGNC:37405],"ARRAYEXPRESS,ENSG"
ENSG00000268079,ENSG00000268079,BNIP3P30,BCL2 interacting protein 3 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:49710],"ARRAYEXPRESS,ENSG"
ENSG00000270947,ENSG00000270947,AC025811.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000268717,ENSG00000268717,BNIP3P33,BCL2 interacting protein 3 pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:49713],"ARRAYEXPRESS,ENSG"
ENSG00000269138,ENSG00000269138,ZNF209P,"zinc finger protein 209, pseudogene [Source:HGNC Symbol;Acc:HGNC:13000]","ARRAYEXPRESS,ENSG"
ENSG00000269837,ENSG00000269837,IPO5P1,importin 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49687],"ARRAYEXPRESS,ENSG"
ENSG00000213971,None,None,None,
ENSG00000267934,ENSG00000267934,AC010300.1,"novel transcript, antisense to ZNF91","ARRAYEXPRESS,ENSG"
ENSG00000233836,ENSG00000233836,AC139769.1,zinc finger protein 726 pseudogene 1,"ARRAYEXPRESS,ENSG"
ENSG00000205246,None,None,None,
ENSG00000269397,ENSG00000269397,AC011503.2,"novel transcript, sense intronic to ZNF726","ARRAYEXPRESS,ENSG"
ENSG00000268362,ENSG00000268362,AC092279.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000261770,ENSG00000261770,AC006504.1,novel transcript,"ARRAYEXPRESS,ENSG"
